# 3-way rolling pipeline CSV
# Generated by make_cases_csv.py
# Cases: 51-100
# workdir_agent:     /home/ai/work_real/workdir_agent
# workdir_baseline:  /home/ai/work_real/workdir_baseline
# workdir_proactive: /home/ai/work_real/workdir_proactive
#
# case_id, dataset_xlsx, workdir_agent, workdir_baseline, workdir_proactive, build_j, fuzz_j [, linux_template]
61, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_61.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
62, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_62.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
63, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_63.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
64, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_64.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
65, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_65.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
66, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_66.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
67, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_67.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
68, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_68.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
69, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_69.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
70, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_70.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
71, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_71.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
72, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_72.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
73, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_73.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
74, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_74.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
76, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_76.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
77, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_77.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
78, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_78.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
79, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_79.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
80, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_80.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
81, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_81.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
82, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_82.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
83, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_83.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
85, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_85.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
86, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_86.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
87, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_87.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
88, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_88.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
89, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_89.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
90, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_90.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
91, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_91.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
93, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_93.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
94, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_94.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
95, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_95.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
97, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_97.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
98, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_98.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
99, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_99.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
100, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_100.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
